Name,Website,Office,State,Campaign Facebook,Campaign Twitter,Personal Facebook,Personal Twitter,Email address,Direct Mail
Rick Neighbors,http://neighbors4congress.com/,U.S. House, ,https://www.facebook.com/VoteRick/,https://www.twitter.com/VoteNeighbors,,,info@rickneighborsforcongress.com,mailto:info@rickneighborsforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Adia Winfrey,,U.S. House, ,https://www.facebook.com/VoteDrDia2020/,https://www.twitter.com/drdia,https://www.facebook.com/drdia,,drdiaforcongress@gmail.com,mailto:drdiaforcongress@gmail.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Darren Parry,https://darrenforutah.com/,U.S. House,Utah,https://www.facebook.com/DarrenParryForCongress/,https://www.twitter.com/shoshoneelder,https://www.facebook.com/darren.parry.7,,,
Jason Crow,http://jasoncrowforcongress.com,U.S. House,Colorado,http://www.facebook.com/JasonCrowforCongress,https://www.twitter.com/JasonCrowCO6,https://www.facebook.com/jason.crow.75,https://www.twitter.com/repjasoncrow,info@jasoncrowforcongress.com,mailto:info@jasoncrowforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Melissa Watson,https://www.melissawatsonforcongress.com/,U.S. House,South Carolina,https://www.facebook.com/MelissaWatsonForCongress,https://www.twitter.com/melissawatsonf1,https://www.facebook.com/educateyoungpeople,,,
Steven Horsford,https://www.stevenhorsford.com/,U.S. House,Nevada,https://www.facebook.com/stevenhorsford/,https://www.twitter.com/StevenHorsford,https://www.facebook.com/RepHorsford/,https://www.twitter.com/RepHorsford,TeamHorsford@StevenHorsford.com,mailto:TeamHorsford@StevenHorsford.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
J.D. Scholten,https://www.scholten4iowa.com/,U.S. House,Iowa,https://www.facebook.com/Scholten4Iowa/,https://www.twitter.com/JDScholten,https://www.facebook.com/profile.php?id=615075242,,jd@scholten4iowa.com,mailto:jd@scholten4iowa.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Terri Sewell,https://sewellforcongress.com/,U.S. House, ,https://www.facebook.com/sewell4congress/,https://www.twitter.com/Sewell4Congress,https://www.facebook.com/TerriSewell4Congress,https://www.twitter.com/RepTerriSewell,,
Cindy Axne,https://cindyaxneforcongress.com,U.S. House,Iowa,https://www.facebook.com/CindyAxneForCongress/,https://www.twitter.com/Axne4Congress,https://www.facebook.com/RepCindyAxne/,https://www.twitter.com/RepCindyAxne,info@cindyaxneforcongress.com,mailto:info@cindyaxneforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Teresa Leger Fernandez,https://www.teresaforall.com/,U.S. House,New Mexico,https://www.facebook.com/Teresa-Leger-Fernandez-301228420816284/,https://www.twitter.com/TeresaForNM,https://www.facebook.com/teresa.leger.712,,info@teresaforall.com,mailto:info@teresaforall.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
