Name,Website,Office,State,Campaign Facebook,Campaign Twitter,Personal Facebook,Personal Twitter,Email address,Direct Mail
Kyle Tisdel,https://www.tisdelforcongress.com/,U.S. House,New Mexico,https://www.facebook.com/tisdelforcongress,https://www.twitter.com/kylejtisdel,https://www.facebook.com/kyle.tisdel,,,
Marco Serna,https://www.marcoforcongress.com/,U.S. House,New Mexico,https://www.facebook.com/Marcoforcongress/,https://www.twitter.com/serna4congress,https://www.facebook.com/marco.serna.712,,,
Jared Golden,https://jaredgoldenforcongress.com/,U.S. House,Maine,https://www.facebook.com/JaredGoldenforCongress/,https://www.twitter.com/golden4congress,https://www.facebook.com/RepGolden,https://www.twitter.com/RepGolden,info@jaredgoldenforcongress.com,mailto:info@jaredgoldenforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
J.D. Scholten,https://www.scholten4iowa.com/,U.S. House,Iowa,https://www.facebook.com/Scholten4Iowa/,https://www.twitter.com/JDScholten,https://www.facebook.com/profile.php?id=615075242,,jd@scholten4iowa.com,mailto:jd@scholten4iowa.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Andy Ruff,https://www.andyruff.org/,U.S. House,Indiana,https://www.facebook.com/andyruff4congress/,https://www.twitter.com/AndyRuffIN9,https://www.facebook.com/andy.ruff.90,,,
Terri Sewell,https://sewellforcongress.com/,U.S. House, ,https://www.facebook.com/sewell4congress/,https://www.twitter.com/Sewell4Congress,https://www.facebook.com/TerriSewell4Congress,https://www.twitter.com/RepTerriSewell,,
Eugene Watson,https://votelacy.com/,U.S. House,West Virginia,https://www.facebook.com/VoteLacy/,https://www.twitter.com/votelacy,https://www.facebook.com/lacy.watson.946,,,
Valerie Plame,https://valerieplameforcongress.com/,U.S. House,New Mexico,https://www.facebook.com/valerieplameforcongress/,https://www.twitter.com/valerieplame,https://www.facebook.com/valerie.elise.33,https://www.twitter.com/ValeriePlame,,
Joseph Sanchez,https://josephsanchezforcongress.com/,U.S. House,New Mexico,https://www.facebook.com/josephsanchezfornm/,https://www.twitter.com/josephsancheznm,https://www.facebook.com/profile.php?id=1052541290,,,
Hilary Turner,https://www.turnerforcongresswv.com/,U.S. House,West Virginia,https://www.facebook.com/TurnerWV,https://www.twitter.com/hilaryturnerwv,https://www.facebook.com/hilary.turner.79,,,
